,Date,Year,Month,Global Temperature Anomaly,Nino 1+2 SST,Nino 1+2 SST Anomaly,Nino 3 SST,Nino 3 SST Anomaly,Nino 3.4 SST,Nino 3.4 SST Anomaly,Nino 4 SST,Nino 4 SST Anomaly,   TNI,SOI,  OLR,   PNA, NOI,ENSO Precipitation Index,BEST,Season (2-Month),MEI.ext,MEI.v2,Season (3-Month),  ONI,RONI,Season (12-Month),ENSO Phase-Intensity
0,1/1/1950,1950,JAN,-0.26,23.01,-1.55,23.56,-2.10,24.55,-1.99,26.94,-1.38,0.624,,,-3.65,2.644,,-0.67,DJ,-0.941,,DJF,-1.53,-1.58,1950-1951,ML
1,2/1/1950,1950,FEB,-0.27,24.32,-1.78,24.89,-1.52,25.06,-1.69,26.67,-1.53,0.445,,,-1.69,2.077,,-1.52,JF,-1.131,,JFM,-1.34,-1.26,1950-1951,ML
2,3/1/1950,1950,MAR,-0.07,25.11,-1.38,26.36,-0.84,25.87,-1.42,26.52,-1.80,0.382,,,-0.06,3.091,,-1.37,FM,-1.347,,FMA,-1.16,-0.96,1950-1951,ML
3,4/1/1950,1950,APR,-0.21,23.63,-1.90,26.44,-1.14,26.28,-1.54,26.90,-1.73,0.311,,,-0.23,1.923,,-1.31,MA,-1.377,,MAM,-1.18,-1.10,1950-1951,ML
4,5/1/1950,1950,MAY,-0.11,22.68,-1.74,25.69,-1.57,26.18,-1.75,27.73,-1.18,0.124,,,-0.40,2.211,,-1.26,AM,-1.282,,AMJ,-1.07,-1.20,1950-1951,ML
5,6/1/1950,1950,JUN,-0.05,21.33,-1.79,25.51,-1.11,26.46,-1.27,28.13,-0.84,0.213,,,-1.99,1.014,,-1.79,MJ,-1.232,,MJJ,-0.85,-0.68,1950-1951,ML
6,7/1/1950,1950,JUL,-0.08,20.31,-1.65,24.91,-0.90,26.29,-1.01,27.64,-1.26,0.293,,,-0.82,-0.336,,-1.72,JJ,-1.538,,JJA,-0.54,-0.26,1950-1951,ML
7,8/1/1950,1950,AUG,-0.16,20.12,-0.88,24.47,-0.65,25.88,-0.97,27.54,-1.25,0.316,,,0.79,-0.236,,-0.96,JA,-1.797,,JAS,-0.42,-0.29,1950-1951,ML
8,9/1/1950,1950,SEP,-0.11,19.56,-1.17,24.01,-0.89,25.74,-0.98,27.27,-1.49,0.564,,,-1.00,0.170,,-0.92,AS,-1.433,,ASO,-0.39,-0.16,1950-1951,ML
9,10/1/1950,1950,OCT,-0.20,19.99,-1.02,24.17,-0.81,25.69,-1.03,27.13,-1.63,0.690,,,0.70,-2.540,,-1.20,SO,-1.030,,SON,-0.44,-0.21,1950-1951,ML
10,11/1/1950,1950,NOV,-0.34,19.85,-1.80,23.86,-1.24,25.47,-1.23,26.99,-1.70,0.993,,,-1.74,0.483,,-1.08,ON,-1.109,,OND,-0.60,-0.49,1950-1951,ML
11,12/1/1950,1950,DEC,-0.22,21.72,-1.09,24.15,-1.08,25.29,-1.31,27.14,-1.40,1.239,,,-0.28,-1.545,,-1.43,ND,-1.378,,NDJ,-0.80,-0.52,1950-1951,ML
12,1/1/1951,1951,JAN,-0.34,24.11,-0.46,24.79,-0.87,25.24,-1.30,27.21,-1.10,1.315,2.5,,-1.18,2.702,,-1.03,DJ,-1.264,,DJF,-0.82,-0.66,1951-1952,ME
13,2/1/1951,1951,FEB,-0.41,25.19,-0.91,25.65,-0.76,25.71,-1.04,27.09,-1.11,1.460,1.5,,-2.11,1.878,,-0.61,JF,-1.180,,JFM,-0.54,-0.32,1951-1952,ME
14,3/1/1951,1951,MAR,-0.20,25.74,-0.75,26.87,-0.33,26.90,-0.38,27.74,-0.58,1.590,-0.2,,-1.09,3.103,,-0.21,FM,-1.176,,FMA,-0.17,0.46,1951-1952,ME
15,4/1/1951,1951,APR,-0.14,25.29,-0.25,27.37,-0.21,27.58,-0.23,28.21,-0.42,1.457,-0.5,,0.47,-3.880,,0.33,MA,-0.795,,MAM,0.18,0.61,1951-1952,ME
16,5/1/1951,1951,MAY,0.00,24.59,0.17,27.07,-0.18,27.92,-0.01,29.18,0.26,1.615,-1.1,,1.19,-2.213,,0.69,AM,-0.130,,AMJ,0.36,0.72,1951-1952,ME
17,6/1/1951,1951,JUN,-0.07,24.61,1.49,26.66,0.04,27.73,0.00,29.05,0.08,1.627,0.3,,-0.54,-0.903,,0.16,MJ,0.382,,MJJ,0.58,0.60,1951-1952,ME
